COD_DPTO,NOM_DPTO,LATITUD,LONGITUD,Geo Departamento
5,ANTIOQUIA,6.702032125,-75.50455704,POINT (-75.50455704 6.702032125)
8,ATLÁNTICO,10.67700953,-74.96521949,POINT (-74.96521949 10.67700953)
11,"BOGOTÁ, D.C.",4.316107698,-74.1810727,POINT (-74.1810727 4.316107698)
13,BOLÍVAR,8.079796863,-74.23514814,POINT (-74.23514814 8.079796863)
15,BOYACÁ,5.891672889,-72.62788054,POINT (-72.62788054 5.891672889)
17,CALDAS,5.280139978,-75.27498304,POINT (-75.27498304 5.280139978)
18,CAQUETÁ,0.798556195,-73.95946756,POINT (-73.95946756 0.798556195)
19,CAUCA,2.396833887,-76.82423283,POINT (-76.82423283 2.396833887)
20,CESAR,9.53665993,-73.51783154,POINT (-73.51783154 9.53665993)
23,CÓRDOBA,8.358549754,-75.79200872,POINT (-75.79200872 8.358549754)
25,CUNDINAMARCA,4.771120716,-74.43111092,POINT (-74.43111092 4.771120716)
27,CHOCÓ,5.397581542,-76.942811,POINT (-76.942811 5.397581542)
41,HUILA,2.570143029,-75.58434836,POINT (-75.58434836 2.570143029)
44,LA GUAJIRA,11.47687008,-72.42951072,POINT (-72.42951072 11.47687008)
47,MAGDALENA,10.24738355,-74.26175733,POINT (-74.26175733 10.24738355)
50,META,3.345562732,-72.95645988,POINT (-72.95645988 3.345562732)
52,NARIÑO,1.571094987,-77.87020496,POINT (-77.87020496 1.571094987)
54,NORTE DE SANTANDER,8.09513751,-72.88188297,POINT (-72.88188297 8.09513751)
63,QUINDÍO,4.455241567,-75.68962853,POINT (-75.68962853 4.455241567)
66,RISARALDA,5.240757239,-76.00244469,POINT (-76.00244469 5.240757239)
68,SANTANDER,6.693633184,-73.48600894,POINT (-73.48600894 6.693633184)
70,SUCRE,9.064941448,-75.10981755,POINT (-75.10981755 9.064941448)
73,TOLIMA,4.03477252,-75.2558271,POINT (-75.2558271 4.03477252)
76,VALLE DEL CAUCA,3.569858693,-76.62850427,POINT (-76.62850427 3.569858693)
81,ARAUCA,6.569577215,-70.96732394,POINT (-70.96732394 6.569577215)
85,CASANARE,5.404064237,-71.60188073,POINT (-71.60188073 5.404064237)
86,PUTUMAYO,0.3673031,-75.51406183,POINT (-75.51406183 0.3673031)
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",12.54311512,-81.71762382,POINT (-81.71762382 12.54311512)
91,AMAZONAS,-1.54622768,-71.50212858,POINT (-71.50212858 -1.54622768)
94,GUAINÍA,2.727842865,-68.81661272,POINT (-68.81661272 2.727842865)
95,GUAVIARE,1.924531973,-72.12859569,POINT (-72.12859569 1.924531973)
97,VAUPÉS,0.64624561,-70.56140566,POINT (-70.56140566 0.64624561)
99,VICHADA,4.713557125,-69.41400011,POINT (-69.41400011 4.713557125)
