COD_DPTO,NOM_DPTO,COD_MPIO,NOM_MPIO,TIPO,LATITUD,LONGITUD,Geo Municipio
5,ANTIOQUIA,5001,MEDELLÍN,Municipio,6.257590259,-75.61103107,POINT (-75.61103107 6.257590259)
5,ANTIOQUIA,5002,ABEJORRAL,Municipio,5.803728154,-75.43847353,POINT (-75.43847353 5.803728154)
5,ANTIOQUIA,5004,ABRIAQUÍ,Municipio,6.627569378,-76.08597756,POINT (-76.08597756 6.627569378)
5,ANTIOQUIA,5021,ALEJANDRÍA,Municipio,6.365534125,-75.09059702,POINT (-75.09059702 6.365534125)
5,ANTIOQUIA,5030,AMAGÁ,Municipio,6.032921994,-75.7080031,POINT (-75.7080031 6.032921994)
5,ANTIOQUIA,5031,AMALFI,Municipio,6.977788843,-74.9812393,POINT (-74.9812393 6.977788843)
5,ANTIOQUIA,5034,ANDES,Municipio,5.604993248,-75.94128391,POINT (-75.94128391 5.604993248)
5,ANTIOQUIA,5036,ANGELÓPOLIS,Municipio,6.121430303,-75.71594966,POINT (-75.71594966 6.121430303)
5,ANTIOQUIA,5038,ANGOSTURA,Municipio,6.861498764,-75.358316,POINT (-75.358316 6.861498764)
5,ANTIOQUIA,5040,ANORÍ,Municipio,7.193110778,-75.10848954,POINT (-75.10848954 7.193110778)
5,ANTIOQUIA,5042,SANTA FÉ DE ANTIOQUIA,Municipio,6.535711576,-75.90426658,POINT (-75.90426658 6.535711576)
5,ANTIOQUIA,5044,ANZÁ,Municipio,6.293546613,-75.91736927,POINT (-75.91736927 6.293546613)
5,ANTIOQUIA,5045,APARTADÓ,Municipio,7.86047815,-76.58236264,POINT (-76.58236264 7.86047815)
5,ANTIOQUIA,5051,ARBOLETES,Municipio,8.611395262,-76.41478317,POINT (-76.41478317 8.611395262)
5,ANTIOQUIA,5055,ARGELIA,Municipio,5.708114524,-75.09469795,POINT (-75.09469795 5.708114524)
5,ANTIOQUIA,5059,ARMENIA,Municipio,6.163683758,-75.80995528,POINT (-75.80995528 6.163683758)
5,ANTIOQUIA,5079,BARBOSA,Municipio,6.443417935,-75.32924085,POINT (-75.32924085 6.443417935)
5,ANTIOQUIA,5086,BELMIRA,Municipio,6.665853953,-75.68621659,POINT (-75.68621659 6.665853953)
5,ANTIOQUIA,5088,BELLO,Municipio,6.358841086,-75.58973588,POINT (-75.58973588 6.358841086)
5,ANTIOQUIA,5091,BETANIA,Municipio,5.727081285,-75.98689107,POINT (-75.98689107 5.727081285)
5,ANTIOQUIA,5093,BETULIA,Municipio,6.185783612,-75.95649246,POINT (-75.95649246 6.185783612)
5,ANTIOQUIA,5101,CIUDAD BOLÍVAR,Municipio,5.840995666,-76.01065253,POINT (-76.01065253 5.840995666)
